,Number of rooms,Area (in m2),Floor,Address,Price in USD,Price in KGS
8,1,38,2,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",38000,3105835
9,1,33.4,4,"Бишкек, Улан м-н, Улан 2/Ахунбаева",32000,2615440
0,1,54,7,"Бишкек, КНУ, Фрунзе 571/Уметалиева",57000,4658753
1,2,70,3,"Бишкек, Бишкек-Парк, Токтогула/Исанова",79000,6456868
2,2,65,10,"Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",65000,5312613
3,2,70,6,"Бишкек, Юг-2 м-н, радищева",71000,5803008
4,2,89,13,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",67000,5476078
5,3,98,9,"Бишкек, КНУ, К. Акиева/Жумабека",100000,8173250
6,2,50,3,"Бишкек, Кудайберген, Садыгалиева",37500,3064969
7,3,102,1,"с. Кок-Джар, Алма-Aтинская/Токомбаева",84000,6865530
8,1,58,4,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",57850,4728225
9,1,54,3,"Бишкек, Магистраль, пр. Ч. Айтматова",44820,3663251
0,2,68,9,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",72000,5884740
1,3,83,10,"Бишкек, Московская - Уметалиева, Киевская 210",79500,6497734
2,2,62,10,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",67500,5516944
3,1,52,6,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",37000,3024103
4,3,90,3,"Бишкек, АЮ Grand, Анкара 28",79500,6497734
5,2,77,2,"Бишкек, Джал-29 м-н, Тыналиева 9/1",69000,5639543
6,1,36,7,"Бишкек, Восток-5 м-н",37000,3024103
7,1,35,3,"Бишкек, Восток-5 м-н",32000,2615440
8,3,85,3,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",79000,6456868
9,3,81,1,"Бишкек, АЮ Grand, Анкара 28",79500,6497734
0,2,70,8,"Бишкек, Азия Молл, Севастопольская 6",63500,5190014
